YY MM DD HH 11502 10304 20203
1980 3 19 9 1.8310817805383023e-5 4.6e-5 0.004898
1980 3 19 12 0.13959293530020705 0.46358 0.016056
1980 3 19 15 0.43564749327122154 1.36543 0.001767
1980 3 19 18 0.021215692287784683 0.027068 0
1980 3 19 21 3.096765010351967e-5 4.35e-4 0
1980 3 20 0 2.8726708074534157e-8 0 0
1980 3 20 3 3.544513457556936e-6 0 0
1980 3 20 6 2.8726708074534157e-8 0 0
1980 3 20 9 0.015444964803312628 0 0
1980 3 20 12 0.5647526847826088 0.1594 0
1980 3 20 15 0.7119444484989648 1.065994 0
1980 3 20 18 0.2208347554347826 0.21128 0
1980 3 20 21 0.1102182067805383 0.009243 0
1980 3 21 0 0.12081349560041407 8.13e-4 0
1980 3 21 3 0.0483101811594203 0.001001 0
1980 3 21 6 0.021046923136645964 0 0
1980 3 21 9 0.040397679606625256 0.008179 0
1980 3 21 12 0.733101007505176 0.018115 0
1980 3 21 15 1.231209239389234 0.067568 0
1980 3 21 18 0.4471304704968944 0 0.020665
1980 3 21 21 0.01329290450310559 0 1.43e-4
1980 3 22 0 0.0036961951345755696 0 0.001685
1980 3 22 3 2.59083850931677e-6 0 3.94e-4
1980 3 22 6 2.8726708074534157e-8 0 0
1980 3 22 9 1.4179891304347825e-4 3e-6 6.3e-5
1980 3 22 12 1.3800623180641822 0.557906 0.006923
1980 3 22 15 2.1554991206004144 0.488168 0
1980 3 22 18 0.28015778907867495 0.012411 0
1980 3 22 21 0.1304630458074534 5.26e-4 0
1980 3 23 0 1.0043737060041408e-5 2.5e-5 0
1980 3 23 3 6.532619047619049e-4 6.2e-5 0
1980 3 23 6 0.00170307582815735 2e-6 0
1980 3 23 9 0.08456634057971014 0.00226 0
1980 3 23 12 0.7646190100931677 0.333354 0
1980 3 23 15 0.6880289826604555 0.256936 0
1980 3 23 18 0.003251114130434783 0.080317 0
1980 3 23 21 0.02336090424430642 0 0
1980 3 24 0 0.05640084446169773 0.12926 0
1980 3 24 3 0.06746879787784679 0.001291 0
1980 3 24 6 0.112114349378882 0.006474 0
1980 3 24 9 0.09112105305383024 0.035797 0
1980 3 24 12 0.4660193157349896 0.128087 0
1980 3 24 15 0.17018468348861285 0.112997 0
1980 3 24 18 0.09894053364389234 5.9e-5 0
1980 3 24 21 1.8133540372670808e-5 5e-6 0
1980 3 25 0 1.2973602484472049e-6 0 0
1980 3 25 3 2.8726708074534157e-8 0 0
1980 3 25 6 2.8726708074534157e-8 0 0
1980 3 25 9 0.3081187210144928 0 0
1980 3 25 12 0.5419378524844721 0.232408 0
1980 3 25 15 0.3184545243271222 0.638122 0
1980 3 25 18 0.5074170395962734 0.140853 0
1980 3 25 21 0.0025862484472049694 9.8e-5 9.02e-4
1980 3 26 0 0.0356577186853002 0.022461 0.001046
1980 3 26 3 4.5578002070393377e-4 0.001 7.06e-4
1980 3 26 6 9.873242753623188e-4 0.001106 0.001754
1980 3 26 9 0.14724134420289856 0.001685 0.002336
1980 3 26 12 0.5395490520186336 0.139159 0.017623
1980 3 26 15 0.3031711296583851 0.247853 0.014703
1980 3 26 18 0.13407620393374742 0.007334 0.125167
1980 3 26 21 0.4289855093167702 1.6e-5 1.267718
1980 3 27 0 0.06780166899585922 7.9e-5 0.218527
1980 3 27 3 0.29944114466873706 0.012023 0.076054
1980 3 27 6 0.4022293134057971 0.137121 1.241213
1980 3 27 9 0.8334923918219462 0.629939 1.532367
1980 3 27 12 0.35139093348861283 0.557582 1.390351
1980 3 27 15 0.18938308799171844 0.694179 0.888731
1980 3 27 18 0.18268858333333335 0.563921 0.732646
1980 3 27 21 0.4096221695134576 0.177579 1.337407
1980 3 28 0 0.3852403219461698 0.122503 0.958693
1980 3 28 3 0.45132815683229816 0.191039 0.677605
1980 3 28 6 2.0681673139233956 0.131376 0.321999
1980 3 28 9 2.7637306612318837 0.552016 1.289088
1980 3 28 12 0.5758901940993789 1.4432449999999999 0.386251
1980 3 28 15 0.6298609596273294 2.198279 0
1980 3 28 18 1.580541032867495 0.658962 0.084894
1980 3 28 21 0.1463406754658385 0.23179 0.049441
1980 3 29 0 0.1644354844720497 0.179288 0.291759
1980 3 29 3 0.14113395393374745 0.253688 0.105396
1980 3 29 6 0.06626981081780538 0.165947 0.389007
1980 3 29 9 0.45927154321946173 0.416682 0.065607
1980 3 29 12 0.52998328131469985 1.198607 0.605625
1980 3 29 15 0.4024673040890269 1.089769 0.076055
1980 3 29 18 0.1419357914078675 0.669332 0.220182
1980 3 29 21 0.12902864699792962 0.651333 0.118723
1980 3 30 0 0.027060238095238096 0 0.123535
1980 3 30 3 0.21800533876811595 5e-6 0.080121
1980 3 30 6 0.8819003969979297 0 0.223659
1980 3 30 9 0.6733027145445135 1.4e-5 0.046152
1980 3 30 12 0.05328992158385094 0.050236 0.053936
1980 3 30 15 0.023831437111801242 0.132005 0.082691
1980 3 30 18 0.08783482556935818 7.3e-5 0.132304
1980 3 30 21 0.16384622412008282 0 0.065765
1980 3 31 0 2.4943581780538304e-5 0 0.169375
1980 3 31 3 0.053365016304347826 0 0.279477
1980 3 31 6 6.393260869565218e-4 8.6e-5 0.136235
1980 3 31 9 1.1330535848861285 0.061086 0.469468
1980 3 31 12 3.5952000869565217 0.719338 0.364077
1980 3 31 15 3.472489849120083 0.196541 0.436323
1980 3 31 18 1.0781805377846791 0.653545 1.914548
1980 3 31 21 2.089086956521739 0.71374 3.405266
1980 4 1 0 2.798687060817805 1.462018 0.630118
1980 4 1 3 1.514640849378882 1.515439 0.486517
1980 4 1 6 1.5862065701345756 1.72008 0.695101
1980 4 1 9 2.2434711495859214 1.330574 0.45927
1980 4 1 12 3.152378910973085 1.084625 0.268846
1980 4 1 15 0.6816333876811594 1.098904 0.75481
1980 4 1 18 1.1287819089026916 0.889628 1.059605
1980 4 1 21 0.6635669710144928 0.52158 3.200915
1980 4 2 0 2.0753579257246377 0.084272 0.173913
1980 4 2 3 2.3735680129399586 0.298788 0.496369
1980 4 2 6 1.1736006718426502 1.173897 0.887104
1980 4 2 9 1.424848352484472 0.518723 0.958939
1980 4 2 12 2.0353720214803315 1.420087 0.526217
1980 4 2 15 0.826809421583851 1.195617 0.005766
1980 4 2 18 0.6801086118012423 1.973232 0.195477
1980 4 2 21 0.5080417502587992 0.4721 0.457584
1980 4 3 0 0.2876516001552795 0.053415 0.381929
1980 4 3 3 0.31649892727743273 0.058158 0.227941
1980 4 3 6 0.15572028933747414 0.026545 0.619184
1980 4 3 9 0.770578947204969 0.033264 0.634751
1980 4 3 12 1.5636392958074534 0.101269 0.527884
1980 4 3 15 0.9729532647515527 0.028007 0.078314
1980 4 3 18 0.2549877968426501 0.015428 0.058924
1980 4 3 21 0.1776033454968944 0 0.134352
1980 4 4 0 0.17791661206004142 0.154448 0.112531
1980 4 4 3 0.03397759989648033 0.174629 0.021541
1980 4 4 6 0.007971987577639752 0.120516 0.018071
1980 4 4 9 0.05667462758799172 0.040035 0.010104
1980 4 4 12 0.007583333074534162 0 0.100703
1980 4 4 15 0.018274740424430645 0 0.090229
1980 4 4 18 0.1487163566252588 0 0.017627
1980 4 4 21 1.9692986542443064e-4 0 0.11528
1980 4 5 0 1.9811490683229816e-4 0 4.76e-4
1980 4 5 3 1.995108695652174e-4 0 0.00187
1980 4 5 6 2.009065734989648e-4 0 0.003305
1980 4 5 9 2.020910973084886e-4 0 0.042736
1980 4 5 12 2.0327562111801243e-4 0 0.119588
1980 4 5 15 2.0445962732919257e-4 0 0.049035
1980 4 5 18 2.0564363354037268e-4 0 0.001674
1980 4 5 21 2.068271221532091e-4 0 1.72e-4
